valores,rua,bairro_cidade,link
"R$827,500",Av. Doutor Altino Arantes,"Vila Clementino, São Paulo",/imovel/216364/apartamento-2-dorms-vila_formosa-sao_paulo-venda/
"R$615,000",Rua XINGU,"Vila Valparaíso, Santo André",/imovel/216532/apartamento-3-dorms-vila_da_saude-sao_paulo-venda/
"R$875,000",Rua Conselheiro Brotero,"Santa Cecília, São Paulo",/imovel/216612/apartamento-1-dorms-brooklin_paulista-sao_paulo-venda/
"R$1,990,000",Rua da Mooca,"Mooca, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$300,000",Rua Santo Amaro,"Bela Vista, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$1,100,000",Rua Jean Peltier,"Cidade Monções, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$850,000",Rua Jean Peltier,"Cidade Monções, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$319,000",Rua Tenente Gelás,"Tatuapé, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$310,000",Av. Sapopemba,"Sapopemba, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$2,000,000",Rua Emílio de Menezes,"Santa Cecília, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$950,000",Rua Jean Peltier,"Cidade Monções, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$630,000",Rua Alfredo Pujol,"Santana, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$272,000",Rua Teófilo Dias,"Vila Regente Feijó, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$850,000",Rua Doutor Plínio Barreto,"Bela Vista, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$620,000",Rua Major Freire,"Vila Monte Alegre, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$2,640,000",Rua Pelotas,"Vila Mariana, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$435,000",Rua Barão do Serro Largo,"Vila Regente Feijó, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$640,000",Rua José de Magalhães,"Vila Clementino, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$370,000",Rua Aratanha,"Jardim Textil, São Paulo",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$850,000",Al. Ribeirão Preto,"Bela Vista, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$730,000",Rua Ministro Gastão Mesquita,"Vila Pompeia, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$7,000,000",Rua Volta Redonda,"Campo Belo, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$1,595,000",Rua Nilo,"Aclimação, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$750,000",Rua Jaci,"Chácara Inglesa, São Paulo",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$770,000",Av. Paes de Barros,"Mooca, São Paulo",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$1,700,000",Rua Professor João de Oliveira Torres,"Jardim Anália Franco, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$730,000",Rua Luís Góis,"Mirandopolis, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$1,100,000",Rua Conde Prates,"Parque da Mooca, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$390,000",Rua Cirino de Abreu,"Guaiaúna, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$6,000,000",Rua Caçapava,"Jardim Paulista, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$1,100,000",Rua Doutor Thirso Martins,"Vila Mariana, São Paulo",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$1,190,000",Rua Barão do Triunfo,"Brooklin Paulista, São Paulo",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$395,000",Av. Doutor Eduardo Cotching,"Vila Formosa, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$1,280,000",Rua Nhandeara,"Vila Carrão, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$349,000",Rua Mamanguape,"Cidade Mãe do Céu, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$1,280,000",Rua Pirituba,"Mirandopolis, São Paulo",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$269,000",Rua Teófilo Dias,"Vila Regente Feijó, São Paulo",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$850,000",Rua Ivaí,"Tatuapé, São Paulo",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$1,100,000",Rua Aguapeí,"Vila Santo Estevão, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$425,000",Av. Jabaquara,"Mirandopolis, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$899,000",Rua Barão do Bananal,"Vila Pompeia, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$1,200,000",Rua Santo Aristides,"Santo Amaro, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$1,150,000",Rua José Tavares de Siqueira,"Parque São Jorge, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$320,000",Rua Hamilton Prado,"Chácara Belenzinho, São Paulo",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$500,000",Rua Coronel Marques,"Vila Nova Manchester, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$1,500,000",Rua Copacabana,"Chora Menino, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$345,000",Rua Antônio Domingues Freitas,"Vila Amélia, São Paulo",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$1,809,000",Rua Etiópia,"Parque da Mooca, São Paulo",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$850,000",Rua Jean Peltier,"Cidade Monções, São Paulo",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$2,350,000",Rua Guapiacu,"Vila Clementino, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$960,000",Rua Doutor Thirso Martins,"Vila Mariana, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$1,050,000",Rua Capitão Pinto Ferreira,"Jardim Paulista, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$1,200,000",Rua Fradique Coutinho,"Pinheiros, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$530,000",Rua Castro Alves,"Aclimação, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$1,400,000",Rua Aguapeí,"Vila Santo Estevão, São Paulo",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$450,000",Al. dos Anapurus,"Indianópolis, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$520,000",Av. Montemagno,"Vila Formosa, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$1,700,000",Rua Loefgreen,"Vila Clementino, São Paulo",/imovel/217816/apartamento-2-dorms-mooca-sao_paulo-venda/
"R$272,000",Rua Teófilo Dias,"Vila Regente Feijó, São Paulo",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$380,000",Av. Ibirapuera,"Indianópolis, São Paulo",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$1,390,000",Rua Prof. Pedreira de Freitas,"Tatuapé, São Paulo",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$1,180,000",Rua Jaboticabal,"Vila Bertioga, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$650,000",Av. Paes de Barros,"Mooca, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$4,134,000",Rua São Vicente de Paula,"Santa Cecília, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$905,000",Rua Cezar Zama,"Santana, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$299,000",Rua Alcindo Bueno de Assis,"Barro Branco - zona Norte, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$1,620,000",Al. dos Anapurus,"Indianópolis, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$4,200,000",Rua Sapucaia,"Alto da Moóca, São Paulo",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$370,000",Rua Bresser,"Brás, São Paulo",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$1,100,000",Rua Doutor Guilherme Cristoffel,"Santana, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$920,000",Rua Guaraiuva,"Cidade Monções, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$1,484,000",Rua dos Franceses,"Morro dos Ingleses, São Paulo",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$310,000",Rua Bruno Cavalcanti Feder,"Quinta da Paineira, São Paulo",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$320,000",Rua João Ribeiro,"Campestre, Santo André",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$369,000",Rua Tenente Gelás,"Tatuapé, São Paulo",/imovel/218025/apartamento-1-dorms-cidade_moncoes-sao_paulo-venda/
"R$1,000,000",Rua Nunes Garcia,"Santana, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$798,000",Rua Doutor Tomás Carvalhal,"Paraíso, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$800,000",Rua Barata Ribeiro,"Bela Vista, São Paulo",/imovel/217328/apartamento-2-dorms-sapopemba-sao_paulo-venda/
"R$450,000",Rua João Gastaldo,"Centro, São Bernardo do Campo",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$450,000",Rua Ibitirama,"Vila Prudente, São Paulo",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$750,000",Rua Tenente Gomes Ribeiro,"Vila Clementino, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$250,000",Av. dos Ourives,"Parque Bristol, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$480,000",Rua Independência,"Jardim Bela Vista, Santo André",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$3,289,000",Rua João Ribeiro,"Campestre, Santo André",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$485,000",Rua Capricho,"Vila Nivi, São Paulo",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$799,000",Rua Barão de Tefé,"Água Branca, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$550,000",Rua PACAJÁS,"Vila Pinheirinho, Santo André",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$1,100,000",Rua Saint Hilaire,"Jardim Paulista, São Paulo",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$270,000",Rua Agostinho Gomes,"Ipiranga, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$570,000",Rua Ivaí,"Tatuapé, São Paulo",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$750,000",Rua Augusta,"Consolação, São Paulo",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$320,000",Rua Borges,"Parada Inglesa, São Paulo",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$840,000",Av. Chibaras,"Moema, São Paulo",/imovel/217249/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$1,060,000",Rua Gabriele D'Annunzio,"Campo Belo, São Paulo",/imovel/218034/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$740,000",Av. Conselheiro Carrão,"Vila Carrão, São Paulo",/imovel/174666/apartamento-2-dorms-jardim_textil-sao_paulo-venda/
"R$1,300,000",Rua Guararema,"Bosque da Saúde, São Paulo",/imovel/217243/apartamento-3-dorms-santa_cecilia-sao_paulo-venda/
"R$320,000",Rua Monte Serrat,"Tatuapé, São Paulo",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$295,000",Av. Rangel Pestana,"Brás, São Paulo",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$1,120,000",Rua Doutor Guilherme Cristoffel,"Santana, São Paulo",/imovel/176827/apartamento-2-dorms-chacara_inglesa-sao_paulo-venda/
"R$390,000",Av. Mazzei,"Vila Mazzei, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$400,000",Rua João Victor Atisani,"Jardim Tamoio, Jundiaí",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$400,000",Rua Torquato Tasso,"Vila Prudente, São Paulo",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$1,000,000",Av. Santa Inês,"Parque Mandaqui, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$1,700,000",Rua Azevedo Soares,"Vila Gomes Cardim, São Paulo",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$350,000",Rua Zuferey,"Jardim Pitangueiras I, Jundiaí",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$1,100,000",Rua Anita Garibaldi,"Vila Isabel Eber, Jundiaí",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$3,800,000",Rua Manoel da Nóbrega,"Paraíso, São Paulo",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$2,400,000",Al. Franca,"Jardim Paulista, São Paulo",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$324,000",Rua Alfredo Pujol,"Santana, São Paulo",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$600,000",Rua Melo Peixoto,"Tatuapé, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$1,150,000",Rua Gaivota,"Indianópolis, São Paulo",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$600,000",Rua Capote Valente,"Pinheiros, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$1,250,000",Rua Bandeira Paulista,"Itaim Bibi, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$850,000",Rua Marina Crespi,"Mooca, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$960,000",Rua Helion Póvoa,"Vila Olímpia, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$1,100,000",Rua Pintassilgo,"Vila Uberabinha, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$2,300,000",Rua Gaivota,"Indianópolis, São Paulo",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$1,000,000",Rua Paulo Gonçalves,"Santana, São Paulo",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$1,000,000",Rua Sílvio Rodini,"Vila Dom Pedro Ii, São Paulo",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$550,000",Av. Paes de Barros,"Mooca, São Paulo",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$460,000",Rua Padre Leão Peruche,"Vila Mazzei, São Paulo",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$560,000",Rua Santa Catarina,"Parque São Jorge, São Paulo",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$1,450,000",Al. Lorena,"Jardim Paulista, São Paulo",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$1,700,000",Rua São Benedito,"Santo Amaro, São Paulo",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$1,400,000",Rua José Maria Lisboa,"Jardim Paulista, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$1,200,000",Rua Taquari,"Mooca, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$590,000",Rua José de Magalhães,"Vila Clementino, São Paulo",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$851,000",Av. Moaci,"Planalto Paulista, São Paulo",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$930,000",Rua Emília Marengo,"Vila Regente Feijó, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$850,000",Rua Alonso Calhamares,"Jardim Anália Franco, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$640,000",Rua Guarei,"Vila Bertioga, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$999,000",Rua Tucuna,"Vila Pompeia, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$318,000",Rua Odorico Mendes,"Mooca, São Paulo",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$1,200,000",Rua Luís Dias,"Itaim Bibi, São Paulo",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$750,000",Av. Conceição,"Carandiru, São Paulo",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$1,080,000",Rua Eunice Weaver,"Vila Regente Feijó, São Paulo",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$900,000",Rua Frei Caneca,"Consolação, São Paulo",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$370,000",Pç. Quatorze Bis,"Bela Vista, São Paulo",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$850,000",Rua Bento Manuel,"Vila Regente Feijó, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$3,000,000",Rua Caravelas,"Vila Mariana, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$650,000",Rua Campos Sales,"Centro, Santo André",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$2,750,000",Al. dos Arapanés,"Indianópolis, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$1,431,000",Av. Lavandisca,"Indianópolis, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$300,000",Av. Cipriano Rodrigues,"Vila Formosa, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$1,160,000",Rua Anita Garibaldi,"Vila Isabel Eber, Jundiaí",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$450,000",Rua Cachoeri,"Vila Oratório, São Paulo",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$525,000",Rua Baguassu,"Vila Regente Feijó, São Paulo",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$1,350,000",Rua Francisco Leitão,"Pinheiros, São Paulo",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$580,000",Rua Jurandá,"Sumarezinho, São Paulo",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$415,000",Rua Rocha,"Bela Vista, São Paulo",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$590,000",Rua Virgílio Várzea,"Itaim Bibi, São Paulo",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$850,000",Rua Falchi Gianini,"Vila Prudente, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$300,000",Av. Capuava,"Vila Homero Thon, Santo André",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$390,000",Estrada Velha da Penha,"Tatuapé, São Paulo",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$315,000",Rua Deputado Lacerda Franco,"Pinheiros, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$599,000",Av. Antártica,"Água Branca, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$830,000",Rua Girassol,"Vila Madalena, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$400,000",Rua Lucinda Gomes Barreto,"Vila Nova Manchester, São Paulo",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$235,000",Av. Rangel Pestana,"Brás, São Paulo",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$950,000",Rua Anita Garibaldi,"Vila Isabel Eber, Jundiaí",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$750,000",Rua Costa Carvalho,"Pinheiros, São Paulo",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$430,000",Rua Santa Virgínia,"Tatuapé, São Paulo",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$250,000",Rua Visconde de Parnaíba,"Brás, São Paulo",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$460,000",Rua Padre Leão Peruche,"Vila Mazzei, São Paulo",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$385,000",Rua dos Vianas,"Vila Baeta Neves, São Bernardo do Campo",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$1,903,000",Rua da Consolação,"Cerqueira César, São Paulo",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$480,000",Rua Falchi Gianini,"Vila Prudente, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$550,000",Rua Major Basílio,"Vila Bertioga, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$750,000",Rua Tonelero,"Vila Ipojuca, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$350,000",Rua Evans,"Vila Esperança, São Paulo",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$830,000",Rua Cuiabá,"Alto da Moóca, São Paulo",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$430,000",Rua General Bagueira,"Santana, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$850,000",Rua Alonso Calhamares,"Jardim Anália Franco, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$7,000,000",Rua Antônio Camardo,"Vila Gomes Cardim, São Paulo",/imovel/47665/apartamento-2-dorms-vila_mazzei-sao_paulo-venda/
"R$2,600,000",Rua Cônego Eugênio Leite,"Pinheiros, São Paulo",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$1,100,000",Av. Paes de Barros,"Mooca, São Paulo",/imovel/218389/apartamento-3-dorms-jardim_tamoio-jundiai-venda/
"R$1,100,000",Rua Almeida Mercês,"Tremembé, São Paulo",/imovel/218288/apartamento-2-dorms-vila_prudente-sao_paulo-venda/
"R$690,000",Trv. Travessa João Dino Brasizza,"Vila Bastos, Santo André",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$460,000",Rua Voluntários da Pátria,"Santana, São Paulo",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$340,000",Al. São Caetano,"Santa Maria, São Caetano do Sul",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$265,000",Rua Chagu,"Vila Formosa, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$360,000",Rua Santa Maria,"Parque São Jorge, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$624,000",Rua Colônia da Glória,"Vila Mariana, São Paulo",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$410,000",Rua Piraçununga,"Vila Bertioga, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$265,000",Rua Antônio Flaquer,"Barro Branco - zona Norte, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$490,000",Rua Prof. Pedreira de Freitas,"Tatuapé, São Paulo",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$1,200,000",Rua Padre João,"Penha de França, São Paulo",/imovel/218621/apartamento-1-dorms-santana-sao_paulo-venda/
"R$865,000",Av. Doutor Gentil de Moura,"Ipiranga, São Paulo",/imovel/218917/apartamento-2-dorms-tatuape-sao_paulo-venda/
"R$290,000",Rua Oratório,"Parque Oratório, Santo André",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$565,000",Av. Doutor Arnaldo,"Pacaembu, São Paulo",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$800,000",Av. Parada Pinto,"Mandaqui, São Paulo",/imovel/175991/apartamento-3-dorms-indianopolis-sao_paulo-venda/
"R$500,000",Rua Vasconcelos Drumond,"Vila Monumento, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$1,800,000",Rua Virgílio Várzea,"Itaim Bibi, São Paulo",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$995,000",Rua Estela,"Vila Mariana, São Paulo",/imovel/218229/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$1,150,000",Rua Mirassol,"Vila Clementino, São Paulo",/imovel/219248/apartamento-2-dorms-pinheiros-sao_paulo-venda/
"R$798,000",Rua Doutor Alfredo Ellis,"Bela Vista, São Paulo",/imovel/50590/apartamento-3-dorms-bela_vista-sao_paulo-venda/
"R$1,500,000",Rua Borges Lagoa,"Vila Clementino, São Paulo",/imovel/117109/apartamento-2-dorms-vila_clementino-sao_paulo-venda/
