valores,rua,bairro_cidade,link
"R$650,000",Rua Maniutuba,"Ch Santo Antônio (ZL), São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,190,000",Rua Padre Raposo,"Mooca, São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$1,050,000",Rua Paulistânia,"Sumarezinho, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$680,000",Rua Luís Góis,"Mirandopolis, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$491,000",Rua Apinajés,"Vila Pompeia, São Paulo",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$905,000",Rua Das Aroeiras,"Jardim, Santo André",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$1,500,000",Rua Agente Gomes,"Jardim São Paulo, São Paulo",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$360,000",Rua dos Franceses,"Morro dos Ingleses, São Paulo",/imovel/230660/apartamento-3-dorms-consolacao-sao_paulo-venda/
"R$749,000",Rua Frei Vicente do Salvador,"Santana, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$385,000",Av. Patente,"Jardim Patente, São Paulo",/imovel/215296/apartamento-1-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$1,150,000",Rua Ilansa,"Vila Prudente, São Paulo",/imovel/130240/apartamento-3-dorms-vila_lilica-santo_andre-venda/
"R$4,500,000",Av. Jandira,"Indianópolis, São Paulo",/imovel/232947/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$795,000",Rua João Ramalho,"Perdizes, São Paulo",/imovel/54809/apartamento-3-dorms-mooca-sao_paulo-venda/
"R$950,000",Rua Sousa Lopes,"Lauzane Paulista, São Paulo",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$296,000",Rua Doutor Vicente Giacaglini,"Vila Bela, São Paulo",/imovel/232377/apartamento-2-dorms-vila_america-santo_andre-venda/
"R$2,300,000",Rua Caconde,"Jardim Paulista, São Paulo",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$350,000",Rua Gonzaga Franco,"Vila Lea, Santo André",/imovel/52735/apartamento-2-dorms-jardim_paulista-sao_paulo-venda/
"R$890,000",Rua do Imperador,"Vila Paiva, São Paulo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$620,000",Rua do Imperador,"Vila Paiva, São Paulo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$730,000",Av. Júlio Buono,"Vila Gustavo, São Paulo",/imovel/235903/apartamento-2-dorms-vila_paiva-sao_paulo-venda/
"R$740,000",Rua Paula Ney,"Vila Mariana, São Paulo",/imovel/233849/apartamento-1-dorms-vila_mariana-sao_paulo-venda/
"R$2,000,000",Rua João Moura,"Pinheiros, São Paulo",/imovel/230084/apartamento-3-dorms-pinheiros-sao_paulo-venda/
"R$780,000",Rua Maria Figueiredo,"Paraíso, São Paulo",/imovel/233471/apartamento-2-dorms-paraiso-sao_paulo-venda/
"R$1,250,000",Rua Álvaro de Abreu,"Jardim São Paulo, São Paulo",/imovel/234950/apartamento-4-dorms-jardim_sao_paulo-sao_paulo-venda/
"R$790,000",Av. Onze de Junho,"Vila Clementino, São Paulo",/imovel/234766/apartamento-3-dorms-vila_clementino-sao_paulo-venda/
